date,year,type,country,area,location,activity,sex,age,injury,fatal (y/n),species,month,sex_count,hemisphere,season_hemisphere
Dec,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark,Dec,0.0,North Hemisphere,winter
Dec,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,,Dec,0.0,North Hemisphere,winter
Dec,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,Dec,1.0,North Hemisphere,winter
Dec,2017,Unprovoked,BAHAMAS,,,Snorkeling,F,25,Minor injury to arm,N,Nurse shark. 5',Dec,0.0,North Hemisphere,winter
Nov,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,"Tiger shark, female",Nov,1.0,North Hemisphere,autumn
Nov,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,"Tiger shark, female",Nov,0.0,North Hemisphere,autumn
Nov,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,"White shark, 4.6 m",Nov,1.0,North Hemisphere,autumn
Nov,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,,Nov,0.0,North Hemisphere,autumn
Nov,2017,Unprovoked,,,,Surfing,M,24,Puncture wounds to feet,N,,Nov,1.0,,
Nov,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,2 m shark,Nov,1.0,South Hemisphere,spring
Nov,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,Tiger shark,Nov,1.0,North Hemisphere,autumn
Oct,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,Cookiecutter shark,Oct,1.0,South Hemisphere,spring
Oct,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,"Wobbegong shark, 1 m",Oct,1.0,South Hemisphere,spring
Oct,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,,Oct,1.0,North Hemisphere,autumn
Oct,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,,Oct,0.0,North Hemisphere,autumn
Oct,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,"White shark, 4.5 m",Oct,0.0,South Hemisphere,spring
Oct,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",Oct,1.0,North Hemisphere,autumn
Oct,2017,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,8' shark,Oct,0.0,North Hemisphere,autumn
Oct,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,,Death may have been due to drowning,Oct,1.0,South Hemisphere,spring
Sep,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",,Questionable,Sep,1.0,North Hemisphere,autumn
Sep,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,"Porbeagle, 1.5 m",Sep,1.0,North Hemisphere,autumn
Sep,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,,Sep,1.0,North Hemisphere,autumn
Sep,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,,Sep,1.0,South Hemisphere,spring
Sep,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,5' to 6' shark,Sep,1.0,North Hemisphere,autumn
Sep,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",Sep,1.0,South Hemisphere,spring
Sep,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,,Sep,1.0,North Hemisphere,autumn
Sep,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,,Sep,1.0,North Hemisphere,autumn
Aug,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,"White shark, 3 m",Aug,1.0,South Hemisphere,winter
Aug,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,,Aug,0.0,North Hemisphere,summer
Aug,2017,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,,Shark involvement questionable,Aug,0.0,North Hemisphere,summer
Aug,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,"White shark, 5' to 7'",Aug,1.0,North Hemisphere,summer
Aug,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,Aug,1.0,North Hemisphere,summer
Aug,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",Aug,0.0,South Hemisphere,winter
Aug,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark,Aug,1.0,North Hemisphere,summer
Jul,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,,Jul,1.0,North Hemisphere,summer
Jul,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,,A small shark,Jul,1.0,North Hemisphere,summer
Jul,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,Bite to left thigh / minor injury,N,,Jul,0.0,North Hemisphere,summer
Jul,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,,Jul,1.0,,
Jul,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,Foot bitten,N,"""A small shark""",Jul,0.0,North Hemisphere,summer
Jul,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,,Shark involvement not confirmed,Jul,0.0,North Hemisphere,summer
Jul,2017,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,"White shark, 11' to 13'",Jul,1.0,North Hemisphere,summer
Jul,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'",Jul,1.0,North Hemisphere,summer
Jul,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,"Bull shark, 4' to 5'",Jul,1.0,North Hemisphere,summer
Jul,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg",Jul,1.0,North Hemisphere,summer
Jul,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,"White shark, 2.5 m",Jul,0.0,South Hemisphere,winter
Jun,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,Jun,0.0,North Hemisphere,summer
Jun,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,"Bull shark, 4' to 5'",Jun,0.0,North Hemisphere,summer
Jun,2017,Unprovoked,REUNION,,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,"Bull shark, 2m",Jun,1.0,,
Jun,2017,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,82,2-inch laceration to hand,N,,Jun,1.0,North Hemisphere,summer
Jun,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,"White shark, 4 m",Jun,1.0,South Hemisphere,winter
Jun,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,,Jun,1.0,North Hemisphere,summer
Jun,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound",Jun,1.0,North Hemisphere,summer
Jun,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Tiger shark,Jun,0.0,North Hemisphere,summer
May,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,3' shark,May,0.0,North Hemisphere,spring
May,2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,May,1.0,South Hemisphere,autumn
May,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,,May,1.0,North Hemisphere,spring
May,2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,9' shark,May,1.0,South Hemisphere,autumn
May,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,,May,1.0,North Hemisphere,spring
May,2017,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,Shark involvement highly doubtful,May,0.0,North Hemisphere,spring
Apr,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,,Apr,1.0,South Hemisphere,autumn
Apr,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,,Apr,0.0,North Hemisphere,spring
Apr,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y,,Apr,1.0,,
Apr,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20,Puncture wounds & laceration above knee,N,,Apr,0.0,South Hemisphere,autumn
Apr,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,,Apr,0.0,,
Apr,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,White shark,Apr,0.0,South Hemisphere,autumn
Apr,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,"Tiger shark, 12'",Apr,1.0,North Hemisphere,spring
Apr,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,,Apr,1.0,North Hemisphere,spring
Apr,2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,Shark involvement prior to death not confirmed,Apr,1.0,South Hemisphere,autumn
Apr,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,,Apr,0.0,North Hemisphere,spring
Apr,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N,,Apr,0.0,North Hemisphere,spring
Apr,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,,Apr,0.0,North Hemisphere,spring
Apr,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,,Apr,1.0,North Hemisphere,spring
Apr,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,,Apr,0.0,North Hemisphere,spring
Apr,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,,Apr,1.0,South Hemisphere,autumn
Apr,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,"Bull shark, 5' to 7'",Apr,0.0,North Hemisphere,spring
Mar,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,,Mar,1.0,North Hemisphere,spring
Mar,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,Minor,N,,Mar,1.0,South Hemisphere,autumn
Mar,2017,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,10' shark,Mar,1.0,North Hemisphere,spring
Mar,2017,Unprovoked,BAHAMAS,Great Exuma,,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,Lemon shark,Mar,1.0,North Hemisphere,spring
Feb,2017,Unprovoked,REUNION,Saint-Andre,,Body boarding,M,26,Fatal,Y,,Feb,1.0,,
Feb,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N,,Feb,1.0,South Hemisphere,summer
Feb,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,,Feb,1.0,North Hemisphere,winter
Feb,2017,Unprovoked,BAHAMAS,Bimini,,Scuba Diving,M,37,Lacerations to upper right arm,N,Caribbean reef shark,Feb,1.0,North Hemisphere,winter
Jan,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,,Jan,1.0,South Hemisphere,summer
Jan,2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,"Bull shark, 4 m",Jan,1.0,South Hemisphere,summer
Jan,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57,Injury to hand,N,,Jan,1.0,South Hemisphere,summer
Jan,2017,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,"Bull shark, 1 m",Jan,1.0,South Hemisphere,summer
Jan,2017,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N,,Jan,1.0,North Hemisphere,winter
Jan,2017,Invalid,AUSTRALIA,New South Wales,Merimbula,Wading,M,20,Minor injuries to foot & toes,,Shark involvement not confirmed,Jan,1.0,South Hemisphere,summer
Dec,2016,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,,Dec,1.0,North Hemisphere,winter
Dec,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",N,"White shark, 4 m",Dec,1.0,South Hemisphere,summer
Dec,2016,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N,,Dec,1.0,South Hemisphere,summer
Dec,2016,Unprovoked,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Fishing,M,40,Hand injured?,N,,Dec,1.0,South Hemisphere,summer
Dec,2016,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Cuts to right ankle & foot,,Shark involvement not confirmed,Dec,1.0,North Hemisphere,winter
Dec,2016,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,"Wobbegong shark, 2m",Dec,1.0,South Hemisphere,summer
Dec,2016,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,White shark,Dec,1.0,South Hemisphere,summer
Nov,2016,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,"Broadnose sevengill shark, 1.5 m",Nov,1.0,South Hemisphere,spring
Nov,2016,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,Tiger shark,Nov,0.0,North Hemisphere,autumn
Oct,2016,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,,Oct,1.0,North Hemisphere,autumn
Oct,2016,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,,Oct,1.0,North Hemisphere,autumn
Oct,2016,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,,Oct,1.0,South Hemisphere,spring
Oct,2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N, 6' to 8' shark,Oct,1.0,North Hemisphere,autumn
Oct,2016,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,,Oct,0.0,North Hemisphere,autumn
Oct,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,,Oct,1.0,South Hemisphere,spring
Oct,2016,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,,Oct,1.0,North Hemisphere,autumn
Oct,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,,Oct,1.0,North Hemisphere,autumn
Oct,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N,,Oct,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,"White shark, 3.5 m",Sep,1.0,South Hemisphere,spring
Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,,Sep,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,,Sep,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,,Sep,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,,Sep,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60,Minor injury to arm,N,3' to 4' shark,Sep,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'",Sep,0.0,North Hemisphere,autumn
Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,FATAL,Y,,Sep,1.0,South Hemisphere,spring
Sep,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,,Sep,0.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N,,Sep,1.0,North Hemisphere,autumn
Sep,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,"White shark, 8' to 10'",Sep,1.0,North Hemisphere,autumn
Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,"Bull shark, 6'",Aug,1.0,North Hemisphere,summer
